"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-05-29","0.00",",,S","79","H,,S","87",",,S","70",",,S"
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-05-30","0.00",",,S","76","H,,S",,,"66",",,S"
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-05-31","0.00","D,,S","76","H,,S","88",",,S","65",",,S"
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-06-01","0.00","D,,S","74","H,,S","87",",,S",,
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-06-02","0.00","D,,S","75","H,,S","86",",,S","67",",,S"
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-06-03","0.00","D,,S","76","H,,S","87",",,S","70",",,S"
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-06-04",,,"81","H,,S","86",",,S","70",",,S"
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-06-05",,,"76","H,,S","86",",,S","69",",,S"
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-06-06","0.00","D,,S","77","H,,S","86",",,S","65",",,S"
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-06-07","0.00","D,,S","80","H,,S",,,"64",",,S"
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-06-08","0.00","D,,S","80","H,,S","87",",,S","64",",,S"
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-06-09","0.00","D,,S","77","H,,S",,,,
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-06-10",,,"77","H,,S",,,"67",",,S"
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-06-11",,,"74","H,,S","85",",,S","67",",,S"
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-06-12","0.00",",,S","75","H,,S","86",",,S","67",",,S"
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-06-13","0.00","D,,S","77","H,,S","85",",,S","66",",,S"
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-06-14","0.00","D,,S","77","H,,S","87",",,S","64",",,S"
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-06-15","0.00","D,,S","78","H,,S","86",",,S","67",",,S"
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-06-16","0.00","D,,S","77","H,,S","86",",,S",,
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-06-17","0.00",",,S","75","H,,S","88",",,S","67",",,S"
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-06-18",,,"76","H,,S",,,"65",",,S"
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-06-19","0.00","D,,S","74","H,,S","87",",,S",,
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-06-20",,,"72","H,,S","86",",,S","65",",,S"
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-06-21","0.00","D,,S","73","H,,S","84",",,S","65",",,S"
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-06-22","0.00","D,,S","73","H,,S","85",",,S","62",",,S"
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-06-23",,,"77","H,,S","85",",,S","65",",,S"
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-06-24","0.00","D,,S","75","H,,S","85",",,S",,
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-06-25","0.00","D,,S","74","H,,S","85",",,S","64",",,S"
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-06-26","0.00","D,,S","76","H,,S",,,"63",",,S"
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-06-27",,,"73","H,,S","87",",,S",,
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-06-28","0.00","D,,S","75","H,,S","88",",,S","65",",,S"
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-06-29","0.00","D,,S","74","H,,S",,,"64",",,S"
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-06-30","0.00","D,,S","76","H,,S","86",",,S","63",",,S"
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-07-01","0.00","D,,S","78","H,,S","87",",,S","61",",,S"
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-07-02","0.00","D,,S","73","H,,S","83",",,S","60",",,S"
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-07-03","0.00","D,,S","74","H,,S","85",",,S","64",",,S"
